03310001,=,,=,Potion,Battle Items
74500001,=,,=,Power Ex,Battle Items
75500001,=,,=,Spirit Ex,Battle Items
C9500001,=,,=,Ether,Battle Items
CB500001,=,,=,Elixir,Battle Items
CC500001,=,,=,Megalixir,Battle Items
34610001,=,,=,Remedy,Battle Items
146A0001,=,,=,Hi-Potion,Battle Items
BEFE0001,=,,=,Antidote,Battle Items
B8120101,=,,=,Phoenix Down,Battle Items
91FF0101,=,,=,Superior Restorative,Battle Items
93FF0101,=,,=,Mega Phoenix,Battle Items
94FF0101,=,,=,Muscle Stimulant,Battle Items
9BB40201,=,,=,Moogle Plushie,Battle Items
5C820301,=,,=,Mega-potion,Battle Items
92820301,=,,=,Gold Needle,Battle Items
93820301,=,,=,Smelling Salts,Battle Items
94820301,=,,=,Maiden's Kiss,Battle Items
95820301,=,,=,Mettle Vx,Battle Items
96820301,=,,=,Verve WX,Battle Items
97820301,=,,=,Reflex enhancer,Battle Items
98820301,=,,=,Magitek booster,Battle Items
0EA50301,=,,=,Red moogle Omament ????,Battle Items
A7FF0301,=,,=,Flesh Forlifier,Battle Items
3A580401,=,,=,Hi-Either,Battle Items
4BFD0401,=,,=,Red moogle Omament ????,Battle Items
67090501,=,,=,Red Moogle Omament (Pink Wings),Battle Items
68090501,=,,=,Red Moogle Omament (Purple Wings),Battle Items
D10A0501,=,,=,Red Moogle Omament (blue Head),Battle Items
D20A0501,=,,=,Red Moogle Omament (Yellow Head),Battle Items
53570501,=,,=,Handgun Ammo,Battle Items
54570501,=,,=,SMG Ammo,Battle Items
55570501,=,,=,Handgun Ammo ( Info Says Moogle),Battle Items
56570501,=,,=,SMG Ammo ( Info Says Moogle ),Battle Items
21590501,=,,=,Lumen Flare,Battle Items
405A0501,=,,=,Phoenix Down,Battle Items
DE6F0501,=,,=,Moogle Plushie,Battle Items
40710501,=,,=,Recoilless Shell,Battle Items
41710501,=,,=,Moggle Plushie,Battle Items
80B60501,=,,=,,Battle Items
81B60501,=,,=,,Battle Items
82B60501,=,,=,,Battle Items
83B60501,=,,=,,Battle Items
84B60501,=,,=,,Battle Items
85B60501,=,,=,,Battle Items
86B60501,=,,=,,Battle Items
87B60501,=,,=,,Battle Items
88B60501,=,,=,,Battle Items
89B60501,=,,=,,Battle Items
60D20501,=,,=,,Battle Items
61D20501,=,,=,,Battle Items
62D20501,=,,=,,Battle Items
63D20501,=,,=,,Battle Items
A5D70501,=,,=,,Battle Items
A6D70501,=,,=,,Battle Items
A7D70501,=,,=,,Battle Items
A8D70501,=,,=,,Battle Items
A9D70501,=,,=,,Battle Items
AAD70501,=,,=,,Battle Items
ABD70501,=,,=,,Battle Items
ACD70501,=,,=,,Battle Items
ADD70501,=,,=,,Battle Items
AED70501,=,,=,,Battle Items
B5D70501,=,,=,,Battle Items
66E30001,=,,=,Gil - Dummy Item ,Event Items 
622F0101,=,,=,EXP - Dummy Item ,Event Items 
12EA0101,=,,=,,Event Items 
A47F0201,=,,=,World Map,Event Items 
A57F0201,=,,=,Crown City Smartphone,Event Items 
A67F0201,=,,=,LOKTON LX-30,Event Items 
A77F0201,=,,=,Lovers' Notebook,Event Items 
A87F0201,=,,=,Regalia Key,Event Items 
AA7F0201,=,,=,Red Tusk,Event Items 
AB7F0201,=,,=,Intricate Coin,Event Items 
AC7F0201,=,,=,756-V-17th Morning Edition,Event Items 
AD7F0201,=,,=,Tombkeeps Key,Event Items 
AF7F0201,=,,=,Mark of Archaean,Event Items 
B07F0201,=,,=,Mark of Fulgurian,Event Items 
B17F0201,=,,=,Mythril Ore,Event Items 
B27F0201,=,,=,Mythril Component,Event Items 
B57F0201,=,,=,Map of Altissia,Event Items 
B67F0201,=,,=,Mark of the Hydraean,Event Items 
B77F0201,=,,=,Mark of the Glacian,Event Items 
B87F0201,=,,=,Mark of the Draconian,Event Items 
B97F0201,=,,=,Infernions Shard,Event Items 
BB7F0201,=,,=,Ring of the Lucii,Event Items 
48810201,=,,=,Enticing Truffle,Event Items 
40950201,=,,=,Broken Dog Tag,Event Items 
41950201,=,,=,Bent Dog Tag,Event Items 
42950201,=,,=,Rusted Dog Tag,Event Items 
43950201,=,,=,Scorched Dog Tag,Event Items 
44950201,=,,=,Twisted Dog Tag,Event Items 
45950201,=,,=,Scratched Dog Tag,Event Items 
46950201,=,,=,Crushed Dog Tag,Event Items 
47950201,=,,=,Polished Dog Tag,Event Items 
48950201,=,,=,Sullied Dog Tag,Event Items 
59950201,=,,=,Cactuar Statuette,Event Items 
5A950201,=,,=,Cactuar Medal,Event Items 
5B950201,=,,=,Cactuar Sculpture,Event Items 
5C950201,=,,=,Cactuar Effigy ,Event Items 
64950201,=,,=,Yellow Frog,Event Items 
66950201,=,,=,Red Frog,Event Items 
6F950201,=,,=,Mystrey Map,Event Items 
70950201,=,,=,Mystrey Map,Event Items 
71950201,=,,=,Mystrey Map,Event Items 
72950201,=,,=,Mystrey Map,Event Items 
73950201,=,,=,Mystrey Map,Event Items 
74950201,=,,=,Mystrey Map,Event Items 
75950201,=,,=,Mystrey Map,Event Items 
76950201,=,,=,Mystrey Map,Event Items 
77950201,=,,=,Mystrey Map,Event Items 
78950201,=,,=,Mystrey Map,Event Items 
79950201,=,,=,Mystrey Map,Event Items 
7A950201,=,,=,Mystrey Map,Event Items 
7B950201,=,,=,Mystrey Map,Event Items 
7C950201,=,,=,Mystrey Map,Event Items 
7D950201,=,,=,Sylvesters Map,Event Items 
7E950201,=,,=,Sylvesters Map Piece A,Event Items 
7F950201,=,,=,Sylvesters Map Piece B,Event Items 
80950201,=,,=,Sylvesters Map Piece C,Event Items 
81950201,=,,=,Sylvesters Map Piece D,Event Items 
82950201,=,,=,Sylvesters Map Piece E,Event Items 
83950201,=,,=,Sylvesters Map Piece F,Event Items 
84950201,=,,=,Sylvesters Map Piece G,Event Items 
85950201,=,,=,Sylvesters Map Piece H,Event Items 
86950201,=,,=,Sylvesters Map Piece I,Event Items 
87950201,=,,=,Sylvesters Map Piece J,Event Items 
88950201,=,,=,Sylvesters Map Piece K,Event Items 
89950201,=,,=,Sylvesters Map Piece L,Event Items 
8A950201,=,,=,Sylvesters Map Piece M,Event Items 
8B950201,=,,=,Sylvesters Map Piece N,Event Items 
9E950201,=,,=,Amethyst Stone,Event Items 
A0950201,=,,=,Sapphire Stone,Event Items 
A1950201,=,,=,Ruby Stone,Event Items 
A2950201,=,,=,Emerald Stone,Event Items 
09A30201,=,,=,Hunting License,Event Items 
